id,existing_score,open_to_buy,months_since_first_loan_issued,existing_credit_card_utilization,n_months_mortgage_loan_paid
79,318.0,,,,
80,462.0,4062.0,62.0,82.0,14.0
81,649.0,48413.0,127.0,54.0,9.0
82,684.0,37658.0,336.0,4.0,14.0
83,289.0,265.0,62.0,102.0,11.0
84,616.0,16528.0,219.0,21.0,12.0
85,346.0,442.0,7.0,81.0,11.0
86,600.0,11571.0,94.0,62.0,9.0
87,370.0,1049.0,,,10.0
88,236.0,,,,8.0
89,331.0,529.0,,,6.0
90,551.0,5727.0,196.0,27.0,9.0
91,270.0,1925.0,104.0,,12.0
92,254.0,1382.0,,,9.0
93,415.0,91.0,14.0,34.0,2.0
94,384.0,11574.0,128.0,24.0,13.0
95,739.0,5888.0,114.0,17.0,12.0
96,318.0,,110.0,,9.0
97,535.0,2459.0,11.0,0.0,11.0
98,465.0,2309.0,,,9.0
99,265.0,198.0,23.0,61.0,12.0
100,429.0,11754.0,313.0,52.0,13.0
101,222.0,108.0,39.0,,12.0
102,290.0,,,,
103,605.0,214.0,,,0.0
104,178.0,,,,0.0
105,611.0,,,,14.0
106,277.0,137.0,76.0,,14.0
107,424.0,1680.0,201.0,75.0,9.0
108,299.0,,,,
109,330.0,424.0,74.0,100.0,10.0
110,270.0,,,,
111,763.0,18810.0,237.0,10.0,9.0
112,443.0,3181.0,89.0,93.0,11.0
113,186.0,54.0,42.0,76.0,8.0
114,239.0,,,,
115,422.0,95.0,13.0,91.0,6.0
116,353.0,2776.0,155.0,4.0,10.0
117,311.0,835.0,44.0,88.0,14.0
118,331.0,995.0,9.0,43.0,7.0
119,633.0,4330.0,73.0,52.0,9.0
120,518.0,1047.0,,,2.0
121,321.0,736.0,27.0,112.0,11.0
122,789.0,45210.0,203.0,0.0,13.0
123,483.0,,,,
124,552.0,6089.0,113.0,2.0,11.0
125,304.0,806.0,22.0,92.0,8.0
126,309.0,,57.0,,10.0
127,722.0,14690.0,179.0,43.0,11.0
128,641.0,32182.0,235.0,0.0,9.0
129,285.0,115.0,29.0,93.0,13.0
130,188.0,345.0,24.0,35.0,8.0
131,341.0,1179.0,52.0,75.0,11.0
132,327.0,,,,
133,707.0,1179.0,141.0,71.0,14.0
134,675.0,40672.0,86.0,87.0,13.0
135,473.0,4655.0,11.0,94.0,13.0
136,319.0,2749.0,12.0,0.0,7.0
137,449.0,1808.0,0.0,,12.0
138,551.0,3325.0,42.0,24.0,9.0
139,523.0,,,,
140,492.0,2053.0,15.0,0.0,4.0
141,334.0,4837.0,53.0,107.0,10.0
142,726.0,22976.0,84.0,1.0,11.0
143,430.0,547.0,,,8.0
144,240.0,,,,
145,702.0,8535.0,125.0,,10.0
146,726.0,9871.0,124.0,94.0,11.0
147,320.0,549.0,36.0,,1.0
148,570.0,1962.0,177.0,82.0,7.0
149,330.0,656.0,,,9.0
150,411.0,1371.0,,,12.0
151,350.0,550.0,187.0,77.0,12.0
152,403.0,123.0,9.0,98.0,6.0
153,371.0,1541.0,12.0,,7.0
154,567.0,1328.0,28.0,0.0,3.0
155,518.0,3792.0,21.0,102.0,10.0
156,460.0,9177.0,98.0,8.0,9.0
157,525.0,10528.0,348.0,79.0,13.0
158,521.0,3268.0,69.0,,14.0
159,533.0,2263.0,246.0,85.0,12.0
160,672.0,,,,
161,322.0,,,,
162,438.0,3313.0,105.0,87.0,11.0
163,324.0,2148.0,24.0,65.0,12.0
164,345.0,141.0,7.0,83.0,12.0
165,336.0,1468.0,,,13.0
166,580.0,22814.0,198.0,8.0,14.0
167,360.0,,,,3.0
168,612.0,11459.0,118.0,16.0,9.0
169,459.0,5936.0,42.0,6.0,10.0
170,710.0,4446.0,52.0,0.0,10.0
171,295.0,3291.0,69.0,93.0,12.0
172,319.0,67.0,11.0,96.0,8.0
173,450.0,1562.0,33.0,47.0,13.0
174,546.0,2848.0,48.0,104.0,12.0
175,440.0,,,,
176,430.0,12360.0,25.0,59.0,11.0
177,377.0,66.0,14.0,99.0,9.0
178,372.0,,,,10.0
179,269.0,,74.0,,10.0
180,505.0,341.0,,,9.0
181,314.0,534.0,,,4.0
182,542.0,5157.0,105.0,93.0,8.0
183,489.0,3332.0,96.0,63.0,11.0
184,365.0,417.0,,,0.0
185,384.0,722.0,72.0,99.0,11.0
186,292.0,254.0,75.0,8.0,14.0
187,171.0,82.0,,,0.0
188,345.0,51.0,39.0,94.0,10.0
189,391.0,1012.0,62.0,61.0,13.0
190,658.0,638.0,,,10.0
191,507.0,1094.0,54.0,14.0,11.0
192,440.0,,,,0.0
193,380.0,1083.0,67.0,89.0,9.0
194,212.0,,,,
195,433.0,,,,
196,449.0,785.0,19.0,3.0,11.0
197,394.0,4758.0,72.0,37.0,12.0
198,281.0,752.0,13.0,59.0,4.0
199,697.0,22332.0,88.0,8.0,13.0
200,649.0,8301.0,144.0,45.0,14.0
201,300.0,62.0,,,10.0
202,485.0,1303.0,20.0,64.0,11.0
203,307.0,404.0,10.0,104.0,11.0
204,694.0,580.0,146.0,97.0,13.0
205,464.0,,,,9.0
206,303.0,3441.0,12.0,11.0,10.0
207,568.0,578.0,,,14.0
208,398.0,281.0,23.0,93.0,13.0
209,419.0,2057.0,135.0,81.0,14.0
210,633.0,4549.0,195.0,,7.0
211,512.0,4951.0,26.0,,5.0
212,390.0,24346.0,44.0,30.0,9.0
213,414.0,2967.0,248.0,93.0,9.0
214,488.0,24948.0,105.0,2.0,12.0
215,209.0,145.0,85.0,,0.0
216,447.0,554.0,4.0,17.0,1.0
217,656.0,6900.0,196.0,,0.0
218,422.0,1109.0,11.0,11.0,0.0
219,703.0,13029.0,97.0,10.0,13.0
220,387.0,464.0,,,13.0
221,688.0,14322.0,114.0,9.0,3.0
222,452.0,,,,7.0
223,534.0,3281.0,43.0,22.0,6.0
224,293.0,388.0,57.0,86.0,12.0
225,397.0,434.0,,,0.0
226,504.0,2064.0,20.0,,13.0
227,500.0,7498.0,100.0,1.0,13.0
228,659.0,21968.0,77.0,59.0,9.0
229,433.0,0.0,155.0,101.0,9.0
230,683.0,7035.0,130.0,0.0,9.0
231,395.0,1232.0,114.0,18.0,11.0
232,267.0,,46.0,,10.0
233,669.0,25380.0,95.0,7.0,14.0
234,471.0,4045.0,162.0,101.0,13.0
235,249.0,319.0,5.0,20.0,5.0
236,693.0,7444.0,105.0,25.0,13.0
237,419.0,260.0,9.0,100.0,10.0
238,366.0,5092.0,104.0,95.0,13.0
239,548.0,964.0,,,1.0
240,479.0,4802.0,16.0,70.0,9.0
241,428.0,446.0,10.0,77.0,3.0
242,325.0,2597.0,15.0,106.0,11.0
243,625.0,2650.0,25.0,57.0,12.0
244,405.0,0.0,37.0,105.0,11.0
245,683.0,9941.0,122.0,,10.0
246,534.0,6158.0,13.0,20.0,10.0
247,690.0,20124.0,152.0,2.0,12.0
248,204.0,115.0,18.0,84.0,1.0
249,339.0,870.0,32.0,87.0,8.0
250,273.0,577.0,,,0.0
251,423.0,,,,5.0
252,740.0,10303.0,72.0,65.0,10.0
253,703.0,7547.0,136.0,3.0,9.0
254,423.0,,229.0,,
255,529.0,2875.0,38.0,81.0,14.0
256,278.0,0.0,80.0,87.0,11.0
257,462.0,5346.0,48.0,46.0,7.0
258,380.0,6134.0,64.0,66.0,9.0
259,694.0,33337.0,301.0,80.0,12.0
260,244.0,767.0,,,7.0
261,608.0,4682.0,197.0,44.0,3.0
262,604.0,393.0,180.0,,2.0
263,333.0,682.0,92.0,20.0,5.0
264,418.0,3041.0,101.0,85.0,10.0
265,251.0,91.0,141.0,,7.0
266,394.0,453.0,26.0,0.0,7.0
267,320.0,103.0,,,5.0
268,499.0,603.0,,,14.0
269,325.0,244.0,37.0,96.0,12.0
270,724.0,20799.0,194.0,75.0,12.0
271,485.0,1675.0,77.0,,13.0
272,402.0,5530.0,198.0,16.0,14.0
273,558.0,691.0,56.0,,14.0
274,183.0,1012.0,6.0,83.0,3.0
275,280.0,,81.0,,8.0
276,327.0,51.0,,,3.0
277,629.0,5190.0,92.0,,11.0
278,316.0,7.0,,,1.0
279,378.0,5176.0,79.0,11.0,11.0
280,639.0,12278.0,275.0,20.0,9.0
281,660.0,36688.0,265.0,51.0,13.0
282,456.0,871.0,11.0,0.0,10.0
283,484.0,159.0,,,2.0
284,238.0,0.0,54.0,71.0,3.0
285,345.0,384.0,30.0,88.0,13.0
286,521.0,9218.0,64.0,4.0,8.0
287,452.0,4825.0,199.0,84.0,14.0
288,364.0,,,,
289,310.0,1281.0,10.0,,7.0
290,339.0,339.0,3.0,,
291,611.0,4247.0,25.0,50.0,4.0
292,572.0,1237.0,112.0,97.0,9.0
293,386.0,183.0,76.0,,0.0
294,524.0,2938.0,207.0,4.0,7.0
295,380.0,15828.0,95.0,62.0,5.0
296,377.0,,,,9.0
297,489.0,,,,
298,744.0,16840.0,136.0,1.0,14.0
299,556.0,2900.0,28.0,0.0,9.0
300,401.0,8893.0,86.0,92.0,14.0
301,648.0,1699.0,383.0,76.0,11.0
302,387.0,771.0,115.0,20.0,13.0
303,335.0,777.0,27.0,0.0,4.0
304,418.0,9968.0,52.0,47.0,13.0
305,365.0,1185.0,29.0,28.0,10.0
306,290.0,609.0,88.0,98.0,5.0
307,235.0,1055.0,52.0,107.0,9.0
308,361.0,,,,
309,467.0,1378.0,60.0,100.0,12.0
310,310.0,355.0,3.0,5.0,7.0
311,309.0,357.0,14.0,103.0,8.0
312,347.0,682.0,57.0,92.0,8.0
313,490.0,,,,14.0
314,446.0,1924.0,143.0,97.0,11.0
315,231.0,,38.0,,0.0
316,632.0,,43.0,,10.0
317,378.0,316.0,39.0,65.0,3.0
318,315.0,486.0,129.0,23.0,14.0
319,504.0,,,,0.0
320,408.0,,,,
321,341.0,6802.0,7.0,5.0,4.0
322,367.0,,,,
323,735.0,40591.0,194.0,4.0,8.0
324,486.0,8644.0,98.0,18.0,14.0
325,515.0,115.0,22.0,,1.0
326,560.0,5324.0,56.0,23.0,7.0
327,533.0,1873.0,184.0,108.0,4.0
328,469.0,3569.0,8.0,90.0,2.0
329,288.0,229.0,,,9.0
330,422.0,,,,
331,652.0,25450.0,48.0,0.0,11.0
332,327.0,111.0,2.0,35.0,9.0
333,749.0,23862.0,206.0,0.0,11.0
334,363.0,15430.0,23.0,0.0,9.0
335,714.0,26904.0,214.0,7.0,12.0
336,441.0,1997.0,21.0,92.0,14.0
337,431.0,14890.0,40.0,71.0,9.0
338,540.0,,107.0,,
339,742.0,10630.0,96.0,56.0,10.0
340,705.0,8482.0,26.0,8.0,10.0
341,679.0,15311.0,86.0,74.0,13.0
342,474.0,4259.0,4.0,8.0,13.0
343,496.0,2942.0,54.0,11.0,7.0
344,419.0,2703.0,62.0,105.0,10.0
345,472.0,1271.0,219.0,53.0,12.0
346,332.0,300.0,,,8.0
347,618.0,12650.0,220.0,20.0,9.0
348,312.0,1089.0,,,14.0
349,461.0,524.0,18.0,5.0,5.0
350,318.0,999.0,115.0,12.0,12.0
351,694.0,19045.0,144.0,0.0,3.0
352,265.0,,,,
353,224.0,,,,11.0
354,422.0,0.0,9.0,106.0,13.0
355,581.0,5586.0,46.0,10.0,6.0
356,242.0,207.0,15.0,,10.0
357,298.0,799.0,63.0,3.0,12.0
358,663.0,8929.0,229.0,81.0,10.0
359,332.0,296.0,,,14.0
360,405.0,5355.0,72.0,91.0,10.0
361,412.0,3008.0,153.0,98.0,13.0
362,209.0,,65.0,,1.0
363,502.0,8832.0,158.0,32.0,10.0
364,795.0,5108.0,132.0,47.0,13.0
365,790.0,34585.0,274.0,8.0,12.0
366,367.0,1036.0,54.0,93.0,13.0
367,465.0,14086.0,247.0,7.0,12.0
368,292.0,256.0,34.0,,9.0
369,334.0,198.0,,,13.0
370,523.0,17807.0,111.0,10.0,12.0
371,488.0,3839.0,129.0,89.0,9.0
372,511.0,6083.0,83.0,54.0,11.0
373,520.0,1309.0,160.0,104.0,12.0
374,468.0,8981.0,103.0,3.0,10.0
375,584.0,4330.0,,,9.0
376,554.0,3164.0,69.0,27.0,10.0
377,334.0,2300.0,134.0,40.0,2.0
378,669.0,7008.0,43.0,0.0,13.0
379,255.0,,,,
380,628.0,17269.0,104.0,90.0,9.0
381,387.0,,64.0,,14.0
382,432.0,7390.0,106.0,63.0,13.0
383,274.0,,113.0,,11.0
384,580.0,5780.0,16.0,,0.0
385,601.0,11464.0,16.0,39.0,10.0
386,361.0,829.0,123.0,,10.0
387,766.0,25902.0,175.0,8.0,4.0
388,290.0,,,,
389,487.0,,,,
390,672.0,2683.0,,,13.0
391,352.0,302.0,15.0,101.0,7.0
392,410.0,314.0,126.0,39.0,14.0
393,465.0,4960.0,92.0,96.0,11.0
394,314.0,,,,
395,716.0,10309.0,72.0,0.0,10.0
396,245.0,,,,
397,481.0,2960.0,,,12.0
398,445.0,2144.0,70.0,95.0,13.0
399,318.0,,17.0,,0.0
400,563.0,7429.0,256.0,94.0,9.0
401,360.0,2226.0,85.0,97.0,10.0
402,476.0,4739.0,,,11.0
403,592.0,580.0,181.0,56.0,11.0
404,470.0,888.0,76.0,88.0,14.0
405,303.0,6291.0,19.0,45.0,9.0
406,321.0,,132.0,,6.0
407,431.0,,,,
408,243.0,,,,1.0
409,384.0,7007.0,66.0,42.0,10.0
410,375.0,11458.0,53.0,55.0,11.0
411,513.0,2031.0,62.0,104.0,13.0
412,739.0,38696.0,98.0,20.0,11.0
413,556.0,3755.0,51.0,28.0,11.0
414,605.0,4464.0,63.0,15.0,13.0
415,407.0,4251.0,336.0,63.0,11.0
416,573.0,,,,1.0
417,369.0,1907.0,130.0,,13.0
418,651.0,18427.0,118.0,58.0,13.0
419,327.0,498.0,8.0,63.0,12.0
420,658.0,6787.0,182.0,3.0,13.0
421,329.0,396.0,,,9.0
422,342.0,1650.0,,,6.0
423,486.0,1473.0,25.0,69.0,11.0
424,368.0,2377.0,19.0,53.0,4.0
425,525.0,1875.0,40.0,38.0,5.0
426,237.0,742.0,65.0,100.0,14.0
427,449.0,1091.0,,,13.0
428,356.0,1265.0,28.0,73.0,13.0
429,523.0,6358.0,132.0,48.0,8.0
430,712.0,59094.0,199.0,38.0,12.0
431,570.0,7044.0,90.0,45.0,10.0
432,699.0,7291.0,140.0,1.0,6.0
433,385.0,4287.0,45.0,3.0,4.0
434,590.0,1792.0,39.0,14.0,9.0
435,333.0,1149.0,120.0,,14.0
436,631.0,8369.0,191.0,95.0,2.0
437,415.0,,,,
438,566.0,8012.0,109.0,1.0,10.0
439,481.0,5135.0,23.0,22.0,6.0
440,677.0,18056.0,222.0,0.0,13.0
441,337.0,924.0,98.0,99.0,14.0
442,307.0,1640.0,49.0,37.0,14.0
443,266.0,,60.0,,
444,663.0,2008.0,116.0,93.0,13.0
445,656.0,52406.0,149.0,85.0,14.0
446,664.0,18393.0,103.0,0.0,10.0
447,255.0,13.0,,,3.0
448,349.0,,48.0,,
449,620.0,6691.0,104.0,98.0,13.0
450,502.0,249.0,67.0,90.0,9.0
451,389.0,1465.0,26.0,93.0,12.0
452,324.0,,,,14.0
453,430.0,4432.0,21.0,49.0,7.0
454,247.0,0.0,,,12.0
455,542.0,1859.0,14.0,27.0,0.0
456,504.0,6016.0,,,7.0
457,244.0,,,,
458,561.0,,95.0,,
459,723.0,16313.0,239.0,2.0,8.0
460,695.0,61927.0,176.0,19.0,14.0
461,226.0,896.0,67.0,77.0,13.0
462,701.0,22949.0,103.0,0.0,9.0
463,402.0,1936.0,310.0,91.0,14.0
464,560.0,3583.0,17.0,,14.0
465,480.0,1934.0,,,9.0
466,309.0,,,,
467,431.0,309.0,,,
468,153.0,243.0,,,3.0
469,239.0,,57.0,,13.0
470,318.0,691.0,93.0,,9.0
471,572.0,10842.0,214.0,0.0,10.0
472,462.0,1925.0,96.0,,9.0
473,482.0,289.0,219.0,102.0,11.0
474,354.0,0.0,100.0,,4.0
475,657.0,31252.0,88.0,15.0,12.0
476,571.0,1487.0,,,11.0
477,589.0,9144.0,115.0,54.0,9.0
478,674.0,12710.0,110.0,12.0,10.0
479,232.0,11.0,47.0,98.0,10.0
480,331.0,568.0,92.0,,12.0
481,399.0,474.0,,,7.0
482,328.0,1429.0,3.0,,12.0
483,610.0,4850.0,21.0,29.0,6.0
484,549.0,8194.0,105.0,76.0,11.0
485,725.0,54.0,86.0,,2.0
486,728.0,12539.0,185.0,44.0,11.0
487,562.0,17109.0,66.0,2.0,11.0
488,497.0,7114.0,51.0,94.0,12.0
489,512.0,823.0,70.0,65.0,11.0
490,317.0,,151.0,,9.0
491,285.0,129.0,58.0,,10.0
492,441.0,,,,
493,613.0,3833.0,103.0,17.0,13.0
494,251.0,959.0,,,10.0
495,472.0,2873.0,9.0,0.0,3.0
496,649.0,783.0,,,0.0
497,311.0,216.0,,,9.0
498,514.0,1232.0,179.0,95.0,11.0
499,708.0,51257.0,234.0,70.0,14.0
500,242.0,1484.0,46.0,78.0,11.0
501,673.0,8386.0,186.0,13.0,7.0
502,404.0,0.0,58.0,86.0,3.0
503,651.0,62613.0,223.0,5.0,14.0
504,357.0,364.0,82.0,,13.0
505,403.0,72.0,128.0,103.0,12.0
506,356.0,1945.0,82.0,100.0,11.0
507,292.0,,,,
508,466.0,7561.0,98.0,80.0,13.0
509,328.0,,,,
510,310.0,1134.0,48.0,93.0,11.0
511,236.0,65.0,,,6.0
512,521.0,583.0,,,8.0
513,280.0,494.0,29.0,91.0,7.0
514,330.0,803.0,111.0,10.0,10.0
515,252.0,137.0,57.0,,12.0
516,768.0,16532.0,275.0,0.0,13.0
517,481.0,2593.0,36.0,73.0,13.0
518,343.0,0.0,141.0,96.0,13.0
519,555.0,496.0,187.0,,9.0
520,225.0,,,,
521,416.0,542.0,96.0,,10.0
522,244.0,956.0,2.0,,7.0
523,309.0,309.0,23.0,0.0,1.0
524,391.0,4915.0,4.0,34.0,2.0
525,477.0,91.0,,,3.0
526,335.0,,,,12.0
527,549.0,19123.0,188.0,39.0,11.0
528,350.0,,,,
529,496.0,,,,5.0
530,480.0,1274.0,113.0,108.0,10.0
531,310.0,149.0,18.0,88.0,10.0
532,460.0,834.0,109.0,98.0,9.0
533,677.0,14718.0,80.0,3.0,13.0
534,349.0,785.0,103.0,68.0,10.0
535,386.0,2492.0,19.0,81.0,9.0
536,484.0,1949.0,74.0,,14.0
537,622.0,3946.0,9.0,4.0,7.0
538,636.0,6415.0,141.0,0.0,4.0
539,303.0,892.0,73.0,61.0,11.0
540,591.0,5792.0,39.0,75.0,9.0
541,449.0,1778.0,141.0,,12.0
542,453.0,4795.0,73.0,31.0,13.0
543,553.0,,,,9.0
544,330.0,3460.0,13.0,86.0,11.0
545,537.0,1321.0,57.0,73.0,13.0
546,396.0,200.0,,,1.0
547,496.0,3933.0,76.0,33.0,9.0
548,575.0,1361.0,38.0,21.0,4.0
549,646.0,24539.0,262.0,8.0,13.0
550,447.0,671.0,,,9.0
551,331.0,88.0,,,14.0
552,519.0,4172.0,65.0,75.0,13.0
553,217.0,48.0,63.0,,12.0
554,303.0,1067.0,19.0,0.0,12.0
555,251.0,145.0,52.0,,3.0
556,652.0,14040.0,108.0,84.0,10.0
557,337.0,,,,
558,376.0,8102.0,23.0,0.0,14.0
559,411.0,1172.0,3.0,,12.0
560,436.0,26759.0,100.0,0.0,9.0
561,770.0,5927.0,198.0,0.0,9.0
562,377.0,950.0,,,5.0
563,268.0,626.0,108.0,0.0,4.0
564,684.0,8882.0,205.0,57.0,9.0
565,518.0,,,,
566,251.0,850.0,121.0,94.0,14.0
567,760.0,76563.0,313.0,19.0,9.0
568,631.0,20467.0,219.0,53.0,0.0
569,589.0,10833.0,61.0,0.0,7.0
570,526.0,413.0,22.0,92.0,11.0
571,380.0,2189.0,32.0,75.0,14.0
572,715.0,15120.0,231.0,8.0,11.0
573,366.0,1521.0,86.0,37.0,11.0
574,543.0,6208.0,138.0,19.0,12.0
575,539.0,245.0,,,1.0
576,440.0,331.0,56.0,91.0,9.0
577,677.0,3427.0,28.0,,13.0
578,510.0,4275.0,36.0,48.0,14.0
579,595.0,1562.0,246.0,90.0,11.0
580,191.0,,72.0,,0.0
581,275.0,0.0,3.0,82.0,2.0
582,570.0,,68.0,,7.0
583,344.0,59.0,119.0,,11.0
584,700.0,1406.0,68.0,12.0,10.0
585,658.0,14446.0,80.0,9.0,13.0
586,538.0,1916.0,67.0,98.0,12.0
587,697.0,17631.0,147.0,15.0,14.0
588,680.0,42124.0,255.0,13.0,13.0
589,291.0,,,,
590,331.0,3394.0,29.0,88.0,14.0
591,328.0,,,,
592,422.0,522.0,,,11.0
593,483.0,1119.0,95.0,94.0,12.0
594,333.0,4043.0,13.0,83.0,1.0
595,581.0,15475.0,73.0,1.0,13.0
596,477.0,740.0,26.0,9.0,11.0
597,350.0,1386.0,36.0,75.0,14.0
598,335.0,311.0,111.0,111.0,10.0
599,597.0,7788.0,89.0,12.0,13.0
600,305.0,719.0,59.0,105.0,4.0
601,553.0,,,,
602,430.0,508.0,118.0,90.0,4.0
603,255.0,705.0,,,0.0
604,362.0,212.0,30.0,41.0,8.0
605,420.0,9081.0,173.0,74.0,9.0
606,464.0,3409.0,8.0,,6.0
607,473.0,887.0,121.0,81.0,13.0
608,507.0,813.0,87.0,90.0,11.0
609,621.0,1397.0,68.0,64.0,7.0
610,360.0,132.0,194.0,,9.0
611,384.0,430.0,,,4.0
612,483.0,7437.0,164.0,43.0,12.0
613,205.0,113.0,47.0,,4.0
614,422.0,511.0,96.0,94.0,10.0
615,388.0,,,,
616,338.0,4799.0,43.0,95.0,6.0
617,248.0,,98.0,,0.0
618,432.0,7998.0,14.0,7.0,10.0
619,462.0,4037.0,136.0,51.0,12.0
620,323.0,0.0,19.0,93.0,6.0
621,605.0,7631.0,31.0,56.0,14.0
622,630.0,5897.0,44.0,94.0,14.0
623,516.0,11782.0,69.0,76.0,14.0
624,459.0,559.0,29.0,94.0,9.0
625,191.0,,,,0.0
626,320.0,1677.0,55.0,76.0,11.0
627,641.0,26735.0,294.0,2.0,9.0
628,565.0,12261.0,96.0,30.0,10.0
629,433.0,209.0,,,2.0
630,393.0,529.0,38.0,83.0,10.0
631,299.0,1762.0,70.0,95.0,10.0
632,554.0,2470.0,91.0,99.0,13.0
633,424.0,2839.0,97.0,,11.0
634,396.0,1418.0,,,8.0
635,450.0,15281.0,146.0,34.0,12.0
636,596.0,628.0,144.0,16.0,14.0
637,662.0,488.0,158.0,,0.0
638,194.0,1795.0,61.0,,11.0
639,398.0,1094.0,78.0,89.0,11.0
640,439.0,3978.0,96.0,86.0,11.0
641,525.0,16069.0,207.0,66.0,10.0
642,441.0,1944.0,18.0,88.0,13.0
643,450.0,2986.0,81.0,48.0,11.0
644,391.0,,,,
645,300.0,166.0,,,1.0
646,622.0,16644.0,232.0,71.0,13.0
647,609.0,477.0,97.0,,13.0
648,561.0,1812.0,104.0,97.0,9.0
649,592.0,6932.0,108.0,,12.0
650,648.0,11683.0,148.0,5.0,10.0
651,249.0,,,,
652,539.0,,,,12.0
653,324.0,725.0,204.0,87.0,13.0
654,335.0,1324.0,33.0,107.0,12.0
655,736.0,17234.0,78.0,77.0,9.0
656,408.0,,,,
657,303.0,404.0,69.0,0.0,9.0
658,594.0,10097.0,150.0,7.0,11.0
659,369.0,,,,
660,335.0,4754.0,20.0,72.0,11.0
661,690.0,28616.0,175.0,18.0,10.0
662,665.0,8781.0,81.0,6.0,7.0
663,599.0,653.0,28.0,51.0,6.0
664,490.0,1313.0,24.0,7.0,9.0
665,545.0,776.0,63.0,100.0,14.0
666,452.0,963.0,213.0,72.0,12.0
667,692.0,21729.0,221.0,21.0,9.0
668,614.0,14022.0,68.0,0.0,11.0
669,303.0,574.0,77.0,94.0,13.0
670,710.0,8855.0,242.0,9.0,2.0
671,632.0,6157.0,112.0,42.0,11.0
672,260.0,,,,
673,589.0,11920.0,134.0,0.0,11.0
674,418.0,4734.0,70.0,100.0,13.0
675,720.0,10410.0,98.0,6.0,11.0
676,484.0,948.0,34.0,47.0,8.0
677,517.0,,,,
678,357.0,1061.0,8.0,78.0,14.0
679,576.0,13358.0,67.0,19.0,13.0
680,433.0,,,,
681,248.0,426.0,75.0,,14.0
682,238.0,1049.0,10.0,0.0,9.0
683,522.0,6291.0,16.0,0.0,13.0
684,584.0,1231.0,194.0,88.0,13.0
685,460.0,710.0,40.0,92.0,6.0
686,692.0,52892.0,253.0,0.0,11.0
687,638.0,26773.0,173.0,19.0,12.0
688,240.0,246.0,,,2.0
